,Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
75,Tesla P40 (0),_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22gpu_kernel_impl_nocastINS0_15CUDAFunctor_addIfEEEEvRNS_18TensorIteratorBaseERKT_EUliE_EEviT1_,20,dram_utilization,Device Memory Utilization,High (9),High (9),High (9)
76,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_per_warp,Instructions per warp,308.125000,600.000000,501.472884
77,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,branch_efficiency,Branch Efficiency,100.000000%,100.000000%,100.000000%
78,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,warp_execution_efficiency,Warp Execution Efficiency,94.833333%,97.602688%,95.759500%
79,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,global_hit_rate,Global Hit Rate in unified l1/tex,0.000000%,0.000000%,0.000000%
80,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,local_hit_rate,Local Hit Rate,0.000000%,0.000000%,0.000000%
81,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,flop_count_dp,Floating Point Operations(Double Precision),0,0,0
82,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,flop_count_sp,Floating Point Operations(Single Precision),8455280,94265344,45782736
83,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_executed,Instructions Executed,601064,20193280,7750648
84,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_issued,Instructions Issued,612164,20213992,7767962
85,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,sysmem_utilization,System Memory Utilization,Low (1),Low (1),Low (1)
86,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,stall_sync,Issue Stall Reasons (Synchronization),1.548042%,13.810361%,6.187563%
87,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,stall_other,Issue Stall Reasons (Other),0.774368%,2.554342%,1.386412%
88,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,stall_memory_dependency,Issue Stall Reasons (Data Request),75.406461%,95.804094%,87.871938%
89,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,stall_pipe_busy,Issue Stall Reasons (Pipe Busy),0.041148%,0.228641%,0.112953%
90,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,stall_constant_memory_dependency,Issue Stall Reasons (Immediate constant),0.127608%,0.843878%,0.374129%
91,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_fp_32,FP Instructions(Single),4358280,56512512,26239021
92,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_fp_64,FP Instructions(Double),0,0,0
93,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_integer,Integer Instructions,9311224,318935040,122100733
94,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_bit_convert,Bit-Convert Instructions,0,0,0
95,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_control,Control-Flow Instructions,1641072,55468032,21272784
96,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_compute_ld_st,Load/Store Instructions,1091256,28061696,11207229
97,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_misc,Misc Instructions,1129888,82120704,29284832
98,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,inst_inter_thread_communication,Inter-Thread Instructions,161280,10485760,3767466
99,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,cf_issued,Issued Control-Flow Instructions,75136,2764800,1049045
100,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,cf_executed,Executed Control-Flow Instructions,75136,2764800,1049045
101,Tesla P40 (0),"void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, int=4>>(float)",3,ldst_issued,Issued Load/Store Instructions,145104,3223552,1320858
